Platform,Product Name,Price,Seller,Delivery Fees,Delivery Date,Product State,Timestamp
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"729.,00 €",Stock e-commerce,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"796.,54 €",2KINGS,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"840.,76 €",Espace-Disque,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"858.,97 €",Icoza,Offerte,Prévue le 24/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"864.,12 €",Monsieurplus,Offerte,Prévue le 21/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"884.,99 €",GPASPLUS,Offerte,Prévue le 21/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"954.,26 €",ESSEBI SHOP,Offerte,Prévue le 20/03/25,NEUF,16/03/2025 16:17:48
E.Leclerc,Smartphone Apple iPhone 15 128GB noir,"1023.,87 €",La Boutique du Net,Offerte,Prévue le 22/03/25,NEUF,16/03/2025 16:17:48
----------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","899.,00 €",Techstarkshop,Offerte,Prévue entre le 19/03/25 et le 20/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","792.,99 €",TELBLUE LDA,Offerte,Prévue entre le 20/03/25 et le 21/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","809.,00 €",Stock e-commerce,Offerte,Prévue le 19/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","904.,71 €",Espace-Disque,Offerte,Prévue entre le 20/03/25 et le 21/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","936.,15 €",2KINGS,Offerte,Prévue le 19/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","966.,35 €",Maxmovil,Offerte,Prévue le 26/03/25,NEUF,18/03/2025 11:09:00
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 128 Go Noir","978.,07 €",Icoza,Offerte,Prévue le 23/03/25,NEUF,18/03/2025 11:09:00
