pfid,idsmartphone,url,timestamp,price,shipcost,rating,ratingnb,offertype,offerdetails,shipcountry,sellercountry
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1171.0,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1191.0,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.0,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.0,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.0,0.01,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.99,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.0,5.9,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1249.0,10.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1269.0,9.98,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1298.98,0.0,,,NewCondition,,,
RAK,A1e,https://fr.shopping.rakuten.com/mfp/12362132/apple-iphone-16-plus?pid=13159484167,2024/11/05/14:39,1315.72,0.01,,,NewCondition,,,
